sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy,site
pixel_1 _DY_10 _DY_10,2006,78.1715314,16.0047274,5,0.236666861465717,0.232183021202724,0.258670777678063,0.316765787451669,0.280506553929477,0.339856902115228,260,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2010,78.1715314,16.0047274,6,0.291575233997112,0.315174180629583,0.315174180629583,0.386814679861851,0.313074962569606,0.39986864956349,260,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2011,78.1715314,16.0047274,14,0.209226530695396,0.209226530695396,0.209553969404267,0.247465438111736,0.232194227498358,0.289161256718176,258,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2013,78.1715314,16.0047274,70,0.293243340055598,0.305852731850532,0.374167218318646,0.374167218318646,0.258323186848493,0.385427094468831,259,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2014,78.1715314,16.0047274,164,0.287549576885993,0.274308236471486,0.364145416194299,0.364145416194299,0.234493615022583,0.44344530983218,259,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2015,78.1715314,16.0047274,63,0.268486431208531,0.270952544559722,0.295565371261487,0.330287851859517,0.233298587527208,0.37950221382632,259,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2016,78.1715314,16.0047274,118,0.297638058807819,0.300109099833152,0.327747208554896,0.333253909474242,0.26845240073298,0.428340069398103,259,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2017,78.1715314,16.0047274,47,0.309294238459364,0.314137522207611,0.332677057941191,0.337381140659672,0.297028082267551,0.406746050890499,259,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2018,78.1715314,16.0047274,95,0.280100821969427,0.273525798871264,0.328909517738006,0.328909517738006,0.265126446033797,0.40951559946197,258,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2019,78.1715314,16.0047274,100,0.258567688234205,0.249382154866544,0.306179879997341,0.306179879997341,0.234803886048173,0.424404692123299,258,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2020,78.1715314,16.0047274,60,0.295110055096775,0.298309316403255,0.337015916198691,0.337015916198691,0.26583818385344,0.408030014419384,258,DY_10 _DY_10
pixel_1 _DY_10 _DY_10,2021,78.1715314,16.0047274,78,0.284675701407027,0.288169927046384,0.34567051742821,0.34567051742821,0.2429497387795,0.407137045340922,258,DY_10 _DY_10
pixel_1 _DY_11,2011,78.1675638,15.9860446,3,0.215166516295541,0.213567069578945,0.217566834111229,0.292713181511614,0.29180684290645,0.29822041943302,260,DY_11
pixel_1 _DY_11,2013,78.1675638,15.9860446,23,0.319032731397078,0.373385266997597,0.373385266997597,0.373385266997597,0.271821887526344,0.373385266997597,260,DY_11
pixel_1 _DY_11,2014,78.1675638,15.9860446,67,0.262717332404131,0.26790018878316,0.298220071534728,0.316328145146212,0.26607036828207,0.385543164463945,260,DY_11
pixel_1 _DY_11,2016,78.1675638,15.9860446,61,0.313917953206624,0.305921830378936,0.407327895364361,0.407327895364361,0.291919539160611,0.449020843166,260,DY_11
pixel_1 _DY_11,2017,78.1675638,15.9860446,47,0.299687529588703,0.29807443340367,0.344622729971432,0.344622729971432,0.286077877853972,0.430694521047882,260,DY_11
pixel_1 _DY_11,2018,78.1675638,15.9860446,32,0.330156895335304,0.319196001160479,0.424451187152155,0.424451187152155,0.324575503669458,0.490490680802778,260,DY_11
pixel_1 _DY_11,2019,78.1675638,15.9860446,71,0.301120150304506,0.298467790021809,0.348111753737687,0.36452831557161,0.279479493188602,0.442911182602525,260,DY_11
pixel_1 _DY_11,2020,78.1675638,15.9860446,47,0.320119357389475,0.331224072526564,0.361837095000485,0.36835992054892,0.310712910310806,0.424520023625889,260,DY_11
pixel_1 _DY_11,2021,78.1675638,15.9860446,36,0.37101334613636,0.364009302022387,0.458654859002734,0.458654859002734,0.30180130740752,0.469978319012906,260,DY_11
pixel_1 _DY_12,2004,78.1610723,15.9973023,2,0.399932871587822,0.399932871587822,0.444667898820876,0.444667898820876,0.390704492036113,0.486788163769695,260,DY_12
pixel_1 _DY_12,2005,78.1610723,15.9973023,2,0.441220603997226,0.441220603997226,0.441220603997226,0.450355941305848,0.441356328760449,0.459355553851246,231,DY_12
pixel_1 _DY_12,2006,78.1610723,15.9973023,8,0.36707987136935,0.365152734075245,0.386982202382498,0.386982202382498,0.350952413308112,0.405496109634304,222,DY_12
pixel_1 _DY_12,2009,78.1610723,15.9973023,4,0.325518839302052,0.325518839302052,0.325518839302052,0.389691530014873,0.382410673016299,0.417891435533877,214,DY_12
pixel_1 _DY_12,2010,78.1610723,15.9973023,7,0.40531258488882,0.40531258488882,0.40531258488882,0.426031315978629,0.410652401983586,0.429840450327979,207,DY_12
pixel_1 _DY_12,2011,78.1610723,15.9973023,13,0.363734179321361,0.363734179321361,0.363734179321361,0.406364349375273,0.387725828773035,0.436574925110826,203,DY_12
pixel_1 _DY_12,2013,78.1610723,15.9973023,50,0.465638304820609,0.4408630900986,0.547256923003848,0.547256923003848,0.423446162846926,0.547504731100785,202,DY_12
pixel_1 _DY_12,2014,78.1610723,15.9973023,178,0.440454167689141,0.445051866327569,0.497614462161977,0.497614462161977,0.397486445571021,0.541361324392413,202,DY_12
pixel_1 _DY_12,2015,78.1610723,15.9973023,54,0.45948475716849,0.469892978669925,0.478505018637422,0.487305377029481,0.475803533832485,0.516130512972513,198,DY_12
pixel_1 _DY_12,2016,78.1610723,15.9973023,121,0.452182839705296,0.453038948505381,0.485865105661473,0.489484249998452,0.447801183971752,0.530331503414575,198,DY_12
pixel_1 _DY_12,2017,78.1610723,15.9973023,78,0.434690165532112,0.445940744100879,0.476169171202879,0.500795400219065,0.452570743138243,0.550435777355018,198,DY_12
pixel_1 _DY_12,2018,78.1610723,15.9973023,108,0.490669318840695,0.486633545601242,0.533744937874727,0.533744937874727,0.4663191418617,0.55921559449601,198,DY_12
pixel_1 _DY_12,2019,78.1610723,15.9973023,110,0.438467939986011,0.454607962273651,0.466400036985941,0.469854524166975,0.396127119908818,0.522203094909573,198,DY_12
