sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy
pixel_1 _PYR_pig,2005,78.6531144,16.3268276,2,0.421312382680337,0.421312382680337,0.421312382680337,0.441618452135457,0.438299689803002,0.444937214467913,220
pixel_1 _PYR_pig,2006,78.6531144,16.3268276,15,0.410847412382161,0.420517181981625,0.446288603493808,0.446288603493808,0.389444468082094,0.479209287323201,217
pixel_1 _PYR_pig,2010,78.6531144,16.3268276,7,0.360548858222809,0.360548858222809,0.360548858222809,0.433334403914944,0.423988263465286,0.458795588255498,216
pixel_1 _PYR_pig,2011,78.6531144,16.3268276,11,0.364261979064861,0.364261979064861,0.364261979064861,0.381255521663671,0.371100917661771,0.385508064327039,212
pixel_1 _PYR_pig,2013,78.6531144,16.3268276,39,0.52007313348727,0.52572882126456,0.538394121216207,0.577067366370562,0.51329815936445,0.605740283229311,213
pixel_1 _PYR_pig,2014,78.6531144,16.3268276,69,0.522224510785017,0.543415468216117,0.550074920757496,0.558593131898714,0.438243144770235,0.593487176917146,213
pixel_1 _PYR_pig,2015,78.6531144,16.3268276,36,0.448097244710488,0.435018918321601,0.475516156188198,0.515870900626465,0.481205652029088,0.565246893540722,212
pixel_1 _PYR_pig,2016,78.6531144,16.3268276,63,0.465210273203259,0.51007484753375,0.551479701660878,0.551479701660878,0.378343763256735,0.563271091096594,212
pixel_1 _PYR_pig,2017,78.6531144,16.3268276,30,0.455239886643586,0.476761848854679,0.477612552272963,0.506100139524196,0.465960840948816,0.526296178854429,212
pixel_1 _PYR_pig,2018,78.6531144,16.3268276,36,0.498018246058042,0.508548634295916,0.536910435282119,0.537355648341669,0.47901119939315,0.567442245551561,212
pixel_1 _PYR_pig,2019,78.6531144,16.3268276,104,0.469930481299096,0.468225701415565,0.549843482719882,0.549843482719882,0.393643684249218,0.574725913250722,210
pixel_1 _PYR_pig,2020,78.6531144,16.3268276,40,0.474164100045624,0.481256217515043,0.506140201484394,0.506140201484394,0.482070404748561,0.517679632843328,209
pixel_1 _PYR_pig,2021,78.6531144,16.3268276,48,0.422198690725363,0.404533401948074,0.510675217965751,0.510675217965751,0.412080570337933,0.51420151132682,210
pixel_10 _PYR_pig,1992,78.6523082,16.3267346,4,0.293396339839216,0.295736171697636,0.316630141657689,0.316630141657689,0.296285813691943,0.34970226092284,240
pixel_10 _PYR_pig,1993,78.6523082,16.3267346,2,0.295397427127815,0.295397427127815,0.346788557089552,0.346788557089552,0.270621913304022,0.412242391892972,240
pixel_10 _PYR_pig,1999,78.6523082,16.3267346,2,0.296409614504552,0.296409614504552,0.31259196383643,0.344723876329945,0.307800845602775,0.381646907057115,240
pixel_10 _PYR_pig,2000,78.6523082,16.3267346,4,0.319931014609052,0.31002395796161,0.348788630068302,0.348788630068302,0.301190313651992,0.401079612038284,240
pixel_10 _PYR_pig,2002,78.6523082,16.3267346,2,0.259243065255672,0.259243065255672,0.294232387360458,0.320512687978529,0.278614147956211,0.362411228000846,240
pixel_10 _PYR_pig,2005,78.6523082,16.3267346,2,0.235498354463306,0.235498354463306,0.235498354463306,0.266187112784979,0.258112056819822,0.274262168750136,224
