sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy
pixel_1 _REF_lein,2006,78.8772991,11.624717,3,0.256863115480491,0.25047257304381,0.273914958219267,0.273914958219267,0.244439274844626,0.28386214400204,241
pixel_1 _REF_lein,2007,78.8772991,11.624717,2,0.273013597872621,0.273013597872621,0.273013597872621,0.319248389173426,0.28154521911709,0.356951559229762,248
pixel_1 _REF_lein,2010,78.8772991,11.624717,7,0.218186246250049,0.219050947856401,0.219050947856401,0.263461783374034,0.223538320508689,0.298653016892597,251
pixel_1 _REF_lein,2011,78.8772991,11.624717,20,0.243678025858561,0.243678025858561,0.271086500481923,0.286236982095918,0.225080011586857,0.34422547004973,239
pixel_1 _REF_lein,2013,78.8772991,11.624717,13,0.298244002299391,0.298244002299391,0.298244002299391,0.324863446557971,0.298244002299391,0.384371085596812,242
pixel_1 _REF_lein,2014,78.8772991,11.624717,125,0.286261721421191,0.298253151481217,0.336258420822016,0.336258420822016,0.240618270806299,0.428333320967287,240
pixel_1 _REF_lein,2015,78.8772991,11.624717,98,0.307305837263624,0.284065455444443,0.422823566759385,0.422823566759385,0.244253012774685,0.468893467052564,243
pixel_1 _REF_lein,2016,78.8772991,11.624717,89,0.28861194815088,0.293263737717267,0.31128850185622,0.333032062455084,0.292428935979879,0.394551877256749,241
pixel_1 _REF_lein,2017,78.8772991,11.624717,94,0.299761574407358,0.299390243732767,0.304702645841675,0.318068840853076,0.285845486682428,0.397014705488943,240
pixel_1 _REF_lein,2018,78.8772991,11.624717,115,0.295229764702003,0.300781956561391,0.336755537868435,0.336755537868435,0.248110054232201,0.433434181900426,239
pixel_1 _REF_lein,2019,78.8772991,11.624717,88,0.29570961632543,0.293548361570583,0.35383144343941,0.35383144343941,0.274620065159615,0.421741458851956,237
pixel_1 _REF_lein,2020,78.8772991,11.624717,80,0.286029550647583,0.293131028603471,0.323298714938477,0.323298714938477,0.245275459256455,0.387260519796754,235
pixel_1 _REF_lein,2021,78.8772991,11.624717,48,0.284184777557388,0.287964585089276,0.307582586098871,0.307717274913547,0.265481152917654,0.327912739402312,231
pixel_1 _REF_odin,2006,78.6528217,16.1382678,9,0.222887381214146,0.202943476582858,0.274117967205559,0.274117967205559,0.188410847846959,0.304987643603103,236
pixel_1 _REF_odin,2010,78.6528217,16.1382678,5,0.187536214002232,0.19378193367659,0.19378193367659,0.200538596189662,0.195473771259386,0.229183523106785,241
pixel_1 _REF_odin,2011,78.6528217,16.1382678,12,0.21879871190554,0.21879871190554,0.21879871190554,0.239530296555664,0.221631868310444,0.282781800603286,248
pixel_1 _REF_odin,2013,78.6528217,16.1382678,36,0.230646598211317,0.244528810017389,0.251584733105285,0.251748618692486,0.200947267817423,0.300801355266103,248
pixel_1 _REF_odin,2014,78.6528217,16.1382678,92,0.249740201145897,0.253555050881408,0.296992767783771,0.296992767783771,0.208345357683336,0.355510868405841,248
pixel_1 _REF_odin,2015,78.6528217,16.1382678,77,0.265182943827617,0.271155660063697,0.316492688373385,0.316492688373385,0.205768095526989,0.354406882226829,248
pixel_1 _REF_odin,2016,78.6528217,16.1382678,65,0.254279879797452,0.249443375702309,0.277488431867838,0.288101100349284,0.236913039862852,0.347362479228162,249
pixel_1 _REF_odin,2017,78.6528217,16.1382678,30,0.24457920283234,0.247508351944583,0.258399207351829,0.260906454616844,0.242350555426395,0.294441177066613,250
pixel_1 _REF_odin,2018,78.6528217,16.1382678,55,0.234632427274221,0.240668513342709,0.270303616551026,0.271052952631277,0.193053098711616,0.34437157470618,251
pixel_1 _REF_odin,2019,78.6528217,16.1382678,150,0.216360949334362,0.217036917048054,0.254946642792971,0.256458636124071,0.200635808357768,0.326475773093446,251
pixel_1 _REF_odin,2020,78.6528217,16.1382678,26,0.210327340347662,0.214130614050775,0.246281621375668,0.249101231182716,0.2104856699596,0.296857025982168,251
pixel_1 _REF_odin,2021,78.6528217,16.1382678,41,0.223491814879824,0.232758134139097,0.270515014812077,0.270515014812077,0.20082956900619,0.302688643479286,251
pixel_1 _REF_rein,2005,78.0519734,16.5271581,2,0.59242195567559,0.59242195567559,0.59242195567559,0.609191348407043,0.592690472056632,0.625692224757454,192
pixel_1 _REF_rein,2006,78.0519734,16.5271581,6,0.527680488346285,0.527680488346285,0.533225646520703,0.550652758495049,0.523519416236099,0.575258466314493,192
pixel_1 _REF_rein,2010,78.0519734,16.5271581,13,0.405099099997508,0.390703015133727,0.421894532338586,0.463085673024915,0.39917630358257,0.51724270389309,183
pixel_1 _REF_rein,2011,78.0519734,16.5271581,13,0.505644128942162,0.505644128942162,0.505644128942162,0.547676948735952,0.506242414497161,0.611548766506023,179
pixel_1 _REF_rein,2013,78.0519734,16.5271581,51,0.55788469997539,0.551197093639505,0.57855878380079,0.582317374702441,0.550109732674546,0.639432266514224,180
pixel_1 _REF_rein,2014,78.0519734,16.5271581,114,0.532599797948875,0.504103666301256,0.627995346114749,0.627995346114749,0.477764295366781,0.725137682084122,179
pixel_1 _REF_rein,2015,78.0519734,16.5271581,36,0.504613365055258,0.505310618360079,0.524565389832678,0.528450293526993,0.484049120729503,0.615954787719912,177
pixel_1 _REF_rein,2016,78.0519734,16.5271581,121,0.502427493394373,0.495795869221489,0.519949954578614,0.559236352827846,0.479843257896105,0.652886515768325,177
pixel_1 _REF_rein,2017,78.0519734,16.5271581,29,0.488610893614075,0.493845699346942,0.521813735243235,0.578402137993055,0.475290200690444,0.667933436901406,176
pixel_1 _REF_rein,2018,78.0519734,16.5271581,125,0.576802611231605,0.597356138105916,0.626780737183152,0.626780737183152,0.490093933917649,0.726331122816918,174
pixel_1 _REF_rein,2019,78.0519734,16.5271581,97,0.510362208267726,0.497847379998038,0.578428186605599,0.578428186605599,0.452339722717461,0.669294854284923,174
pixel_1 _REF_rein,2020,78.0519734,16.5271581,100,0.506707397937147,0.498335520245302,0.541933463732212,0.559666497499632,0.42774137558178,0.648216189801386,176
pixel_1 _REF_rein,2021,78.0519734,16.5271581,54,0.490616310497912,0.498988810575291,0.566934653013251,0.566934653013251,0.460433995861673,0.61448111026337,177
pixel_2 _REF_bolt,2004,78.1455199,15.9855459,2,0.449817784252414,0.449817784252414,0.495925732296578,0.520975733836438,0.487496981195653,0.554454486477223,204
pixel_2 _REF_bolt,2005,78.1455199,15.9855459,2,0.611152785760909,0.611152785760909,0.611152785760909,0.611304282213739,0.611152785760909,0.611455778666569,204
pixel_2 _REF_bolt,2006,78.1455199,15.9855459,9,0.469259647817183,0.455163475519169,0.504331289061891,0.504331289061891,0.448941748298694,0.510769195555786,203
pixel_2 _REF_bolt,2010,78.1455199,15.9855459,14,0.518667651230922,0.518667651230922,0.5709062048244,0.5709062048244,0.509107271878905,0.590517169759687,203
pixel_2 _REF_bolt,2011,78.1455199,15.9855459,52,0.503965886092441,0.494377271237336,0.548707234264821,0.548707234264821,0.487843973236811,0.555925725082398,205
pixel_2 _REF_bolt,2013,78.1455199,15.9855459,51,0.53648007728389,0.525173063415394,0.569541117673785,0.57658096341873,0.536840817653514,0.611907964499779,205
pixel_2 _REF_bolt,2014,78.1455199,15.9855459,166,0.49873051480524,0.495332801266425,0.540860025519626,0.540860025519626,0.459421735975567,0.56397242991511,205
