sample.id,latitude,longitude,year,doy,ndvi,spl.n.obs,spl.fit,spl.frac.max,spl.fit.max,spl.fit.max.doy,ndvi.adjustment,ndvi.max.pred
pixel_1 _PYR_pig,78.6531144,16.3268276,2004,192,0.38775747326022,22,0.422998367023232,0.895389484329647,0.472418287712993,220,0.0494199206897611,0.437177393949981
pixel_1 _PYR_pig,78.6531144,16.3268276,2005,203,0.421312382680337,22,0.451956710534758,0.956687584476692,0.472418287712993,220,0.0204615771782346,0.441773959858572
pixel_1 _PYR_pig,78.6531144,16.3268276,2005,203,0.421312382680337,28,0.461510539817369,0.978521251957214,0.47164079358958,215,0.0101302537722103,0.431442636452547
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,191,0.373514402436601,22,0.419328459401649,0.887621140645604,0.472418287712993,220,0.0530898283113432,0.426604230747945
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,191,0.373514402436601,28,0.431677742088381,0.915268034393195,0.47164079358958,215,0.0399630515011986,0.4134774539378
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,191,0.373514402436601,34,0.443258419320379,0.90673051531561,0.488853536782196,211,0.0455951174618169,0.419109519898418
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,198,0.450862942417759,22,0.44144331668894,0.934433166899603,0.472418287712993,220,0.0309749710240529,0.481837913441812
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,198,0.450862942417759,28,0.451974295188164,0.958301956343222,0.47164079358958,215,0.0196664984014155,0.470529440819175
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,198,0.450862942417759,34,0.471971402628395,0.965465864755882,0.488853536782196,211,0.0168821341538017,0.467745076571561
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,203,0.434151015934725,22,0.451956710534758,0.956687584476692,0.472418287712993,220,0.0204615771782346,0.454612593112959
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,203,0.434151015934725,28,0.461510539817369,0.978521251957214,0.47164079358958,215,0.0101302537722103,0.444281269706935
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,203,0.434151015934725,34,0.482693294664391,0.987398593537128,0.488853536782196,211,0.00616024211780503,0.44031125805253
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,205,0.452731973185308,22,0.455511901623768,0.964213099854644,0.472418287712993,220,0.0169063860892251,0.469638359274533
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,205,0.452731973185308,28,0.464416146594169,0.984681886949547,0.47164079358958,215,0.00722464699541042,0.459956620180719
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,205,0.452731973185308,34,0.485346517757616,0.992826033237553,0.488853536782196,211,0.00350701902458017,0.456238992209888
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,207,0.39088969176225,22,0.458889700537006,0.971363117119197,0.472418287712993,220,0.0135285871759865,0.404418278938237
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,207,0.39088969176225,28,0.466874752310419,0.989894764524317,0.47164079358958,215,0.00476604127916053,0.395655733041411
pixel_1 _PYR_pig,78.6531144,16.3268276,2006,207,0.39088969176225,34,0.48725985927637,0.99673996936523,0.488853536782196,211,0.00159367750582579,0.392483369268076
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,22,0.404132983729014,0.855455841232243,0.472418287712993,220,0.0682853039839787,0.428834162206788
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,28,0.417258534462444,0.884695599137553,0.47164079358958,215,0.0543822591271355,0.414931117349944
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,34,0.421277934358468,0.861767181089587,0.488853536782196,211,0.0675756024237283,0.428124460646537
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,34,0.435665226614969,0.818911065297184,0.532005543797195,222,0.0963403171822265,0.456889175405035
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,42,0.442660035320326,0.830278028617863,0.533146753331782,220,0.0904867180114559,0.451035576234265
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,60,0.440811295905783,0.835638817326448,0.527514144587156,213,0.0867028486813722,0.447251706904181
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,187,0.360548858222809,72,0.439583975685888,0.842084775819134,0.522018671170352,210,0.0824346954844639,0.442983553707273
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,256,0.28246152218755,22,0.333885047873587,0.706757245766132,0.472418287712993,220,0.138533239839406,0.420994762026956
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,256,0.28246152218755,28,0.329682680299582,0.699012224516082,0.47164079358958,215,0.141958113289998,0.424419635477547
pixel_1 _PYR_pig,78.6531144,16.3268276,2010,256,0.28246152218755,34,0.359091910933278,0.734559298265378,0.488853536782196,211,0.129761625848918,0.412223148036468
pixel_1 _PYR_pig,78.6531144,16.3268276,2011,230,0.364261979064861,22,0.465127874233151,0.984567884712645,0.472418287712993,220,0.00729041347984155,0.371552392544703
pixel_1 _PYR_pig,78.6531144,16.3268276,2011,230,0.364261979064861,28,0.451414254021994,0.95711452477712,0.47164079358958,215,0.0202265395675856,0.384488518632447
pixel_1 _PYR_pig,78.6531144,16.3268276,2011,230,0.364261979064861,34,0.471729203825316,0.964970422287219,0.488853536782196,211,0.0171243329568798,0.381386312021741
pixel_1 _PYR_pig,78.6531144,16.3268276,2011,230,0.364261979064861,82,0.49193205353228,0.961029001297839,0.511880549773151,212,0.0199484962408708,0.384210475305732
