sample.id,year,latitude,longitude,n.obs,ndvi.gs.avg,ndvi.gs.med,ndvi.gs.q90,ndvi.max,ndvi.max.lwr,ndvi.max.upr,ndvi.max.doy
pixel_1 _BC_Oss,1989,78.9302633,12.4439774,38,0.426117982652823,0.445999602663172,0.454125614718002,0.456865972484527,0.445837530380682,0.516984907020869,224
pixel_1 _BC_Oss,1990,78.9302633,12.4439774,22,0.409059201793694,0.409059201793694,0.449553674884499,0.449553674884499,0.403618914083276,0.465676194291136,227
pixel_1 _BC_Oss,1991,78.9302633,12.4439774,12,0.452222828211029,0.452222828211029,0.452222828211029,0.459580447883371,0.455627439934972,0.505995485780234,229
pixel_1 _BC_Oss,1992,78.9302633,12.4439774,78,0.360613451881464,0.360735813946833,0.368165324729668,0.38058412380292,0.35470267042101,0.459288758457964,230
pixel_1 _BC_Oss,1993,78.9302633,12.4439774,14,0.429851093092333,0.429851093092333,0.429851093092333,0.445860970341168,0.433255704816276,0.483623750661538,229
pixel_1 _BC_Oss,1994,78.9302633,12.4439774,15,0.455100838150355,0.455100838150355,0.455100838150355,0.476290846215351,0.466632615242566,0.488416304378541,228
pixel_1 _BC_Oss,1995,78.9302633,12.4439774,64,0.396202516890387,0.399936090583266,0.447575927000721,0.447575927000721,0.362920718353059,0.526540151491436,227
pixel_1 _BC_Oss,1996,78.9302633,12.4439774,11,0.452096118794151,0.452096118794151,0.452096118794151,0.481874289667552,0.455745418015975,0.497888992629405,235
pixel_1 _BC_Oss,1997,78.9302633,12.4439774,11,0.509248612248093,0.509248612248093,0.509248612248093,0.517896935061385,0.511205622593407,0.548832380454487,232
pixel_1 _BC_Oss,1998,78.9302633,12.4439774,20,0.409961674093095,0.409961674093095,0.453977772501007,0.453977772501007,0.432099079462396,0.493621403494762,231
pixel_1 _BC_Oss,1999,78.9302633,12.4439774,18,0.457663117059454,0.457663117059454,0.481422676038024,0.500908582059162,0.481422676038024,0.531872284248388,229
pixel_1 _BC_Oss,2000,78.9302633,12.4439774,7,0.561677458214124,0.561677458214124,0.561677458214124,0.568996213868976,0.563314207425778,0.590621561477536,224
pixel_1 _BC_Oss,2002,78.9302633,12.4439774,20,0.445272359059531,0.452881753504686,0.475208405696422,0.480089324573929,0.413570743315651,0.569959214512887,214
pixel_1 _BC_Oss,2005,78.9302633,12.4439774,5,0.431320694972997,0.431320694972997,0.431320694972997,0.480443793201127,0.474764845226938,0.51960330969475,195
pixel_1 _BC_Oss,2006,78.9302633,12.4439774,40,0.441746187862938,0.44319776377291,0.459983707778945,0.46296102885926,0.414427787868946,0.523261983692436,201
pixel_1 _BC_Oss,2007,78.9302633,12.4439774,11,0.426663850978753,0.462941589424461,0.462941589424461,0.463164989789848,0.412681590586476,0.504551371534424,198
pixel_1 _BC_Oss,2010,78.9302633,12.4439774,40,0.414107631927054,0.399197477293666,0.473147311139181,0.473147311139181,0.408310128925791,0.530148963461553,198
pixel_1 _BC_Oss,2011,78.9302633,12.4439774,97,0.418865282481275,0.404215377697842,0.499755296503983,0.499755296503983,0.368782598954632,0.561832295045843,200
pixel_1 _BC_Oss,2013,78.9302633,12.4439774,56,0.496393113651652,0.488378139971739,0.557487486816195,0.557487486816195,0.451391462621109,0.578819967607705,201
pixel_1 _BC_Oss,2014,78.9302633,12.4439774,117,0.513552789998123,0.543596389284295,0.633323554963796,0.633323554963796,0.424790231304867,0.643766203541924,202
pixel_1 _BC_Oss,2015,78.9302633,12.4439774,130,0.468043782934474,0.461132385752641,0.517102240754232,0.517102240754232,0.389915923787237,0.600177721925069,202
pixel_1 _BC_Oss,2016,78.9302633,12.4439774,143,0.486366500079297,0.481350317801582,0.540645925522513,0.540645925522513,0.451846570729576,0.623028813825601,203
pixel_1 _BC_Oss,2017,78.9302633,12.4439774,109,0.502565601292657,0.49899720113252,0.593940375917439,0.593940375917439,0.469106089310798,0.633947311279768,204
pixel_1 _BC_Oss,2018,78.9302633,12.4439774,135,0.531116375130523,0.536537875000121,0.601770534217997,0.601770534217997,0.479082118497101,0.653701872561961,204
pixel_1 _BC_Oss,2019,78.9302633,12.4439774,162,0.521058538605364,0.514439480208574,0.596061659967791,0.596061659967791,0.460907267844224,0.612927398693868,205
pixel_1 _BC_Oss,2020,78.9302633,12.4439774,112,0.468969854930869,0.470049908282527,0.53400458452652,0.53400458452652,0.434320921097288,0.589536189870546,205
pixel_1 _BC_Oss,2021,78.9302633,12.4439774,66,0.463140589169951,0.470966980591976,0.500253449523944,0.500253449523944,0.439597439157011,0.563208113367233,206
pixel_1 _BC_alkhor,2010,78.2064528,13.7801747,6,0.570799891418553,0.570799891418553,0.584723585214262,0.584723585214262,0.559644214572276,0.595908262854463,242
pixel_1 _BC_alkhor,2011,78.2064528,13.7801747,18,0.62467173034992,0.62467173034992,0.67191784338896,0.67191784338896,0.578214397693498,0.701937400662645,249
pixel_1 _BC_alkhor,2014,78.2064528,13.7801747,27,0.546959903365664,0.5479078556916,0.585099119050648,0.585099119050648,0.507885942506798,0.591194684937763,249
pixel_1 _BC_alkhor,2015,78.2064528,13.7801747,27,0.527854058073629,0.543865543143446,0.573143879918321,0.573143879918321,0.50818624893699,0.578666257897526,249
pixel_1 _BC_alkhor,2016,78.2064528,13.7801747,63,0.574572012927639,0.581248661255114,0.605449442911901,0.605821770343519,0.561772031345344,0.64764624381939,249
pixel_1 _BC_alkhor,2017,78.2064528,13.7801747,18,0.558643585039711,0.558643585039711,0.583803385775333,0.583803385775333,0.533896789453151,0.590697931598542,249
